rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/a_futile_and_stupid_gesture,A Futile and Stupid Gesture,Writer Doug Kenney co-founds National Lampoon magazine in 1970.,"A Futile and Stupid Gesture entertainingly recreates the birth of an influential comedic movement, even if it struggles to cover its creative ground.",NR,Comedy,David Wain,"Michael Colton, John Aboud","Will Forte, Domhnall Gleeson, Emmy Rossum, Matt Walsh, Natasha Lyonne, Thomas Lennon, Martin Mull, Joel McHale, Seth Green, Jon Daly, John Gemberling",,1/26/2018,101,Netflix,Fresh,67,43,Upright,71,563,13,29,14
m/a_secret_love,A Secret Love,A former baseball player keeps her lesbian relationship a secret from her family for seven decades.,"In telling one couple's story, A Secret Love pays understated yet powerful tribute to a lifetime of choices and sacrifices made in the name of enduring devotion.",NR,"Documentary, Gay & Lesbian",Chris Bolan,"Chris Bolan, Alexa L. Fogel, Brendan Mason",,,4/29/2020,83,Netflix,Certified-Fresh,100,42,Upright,94,125,13,42,0
m/a_shaun_the_sheep_movie_farmageddon,A Shaun the Sheep Movie: Farmageddon,The continuing adventures of Shaun the sheep and friends.,A Shaun the Sheep Movie: Farmageddon retains the charm of its small-screen source material while engagingly expanding the title character's world.,G,"Animation, Comedy",Richard Starzak,Richard Starzak,Justin Fletcher,2/14/2020,2/14/2020,87,Netflix,Certified-Fresh,96,74,Upright,80,250,14,71,3
m/a_sun_2019,A Sun,"A family fractures under the weight of unmet expectations, unexpected tragedy and uncompromising pride.",,NR,Drama,Chung Mong-hong,"Chung Mong-hong, Chang Yaosheng","Chen Yi-Wen, Samantha Ko, Samantha Shu-Chin Ko, Kuan-Ting Liu",,1/24/2020,156,Netflix,Fresh,89,9,Upright,90,29,2,8,1
m/adam_sandler_100_fresh,Adam Sandler: 100% Fresh,,"An energetic Sandler jumps back into the spotlight with fresh songs, stories, and spoofs in Adam Sandler: 100% Fresh, a wonderful return to form for a beloved comedian.",NR,Comedy,,,Adam Sandler,,,,Netflix,Certified-Fresh,90,20,Upright,91,715,8,18,2
m/alex_strangelove,Alex Strangelove,A high school senior plans on losing his virginity to his girlfriend. Things get complicated when he meets a handsome and charming gay kid from the other side of town who unwittingly sends him on a roller-coaster journey of sexual identity.,Alex Strangelove offers a refreshingly insightful -- and fittingly adult -- take on teen sexuality enlivened by smart humor and a fearlessly progressive approach.,NR,Comedy,Craig Johnson,Craig Johnson,"Daniel Doheny, William Ragsdale, Joanna Adler, Isabella Amara, Madeline Weinstein, Antonio Marziale",,6/8/2018,99,Netflix,Fresh,80,25,Upright,70,629,11,20,5
m/ali_wong_baby_cobra,Ali Wong: Baby Cobra,,,NR,Comedy,Jay Karas,,Ali Wong,,,,Netflix,Fresh,100,9,Upright,79,28,3,9,0
m/ali_wong_hard_knock_wife,Ali Wong: Hard Knock Wife,,"Ali Wong emerges a mother still perturbed in Hard Knock Wife, a hilariously honest hour of comedy that highlights the joys and oh boys of motherhood with fearless energy and just the right amount of squirmy detail.",NR,Comedy,Jay Karas,Ali Wong,Ali Wong,,,,Netflix,Certified-Fresh,100,20,Upright,69,191,7,20,0
m/alis_wedding,Ali's Wedding,"After a reckless lie, the son of a Muslim cleric finds himself caught between his sense of duty and following his heart. He must follow through with his arranged marriage or be with the girl he truly loves.","Ali's Wedding uses its very specific setting to explore universal ideas about relationships -- and in delightfully smart, funny fashion.",NR,"Art House & International, Comedy, Drama, Romance",Jeffrey Walker,"Andrew Knight, Osamah Sami","Osamah Sami, Helana Sawires, Don Hany, Ryan Corr, Khaled Khalafalla, Robert Rabiah, Asal Shenavehzadeh, Rodney Afif, Ghazi Alkinani, Majid Shokor, Shayan Salehian, Rahel Romahn, Frances Duca, Maha Wilson, Natalie Gamsu, Aljin Abella, Geneviève Picot, Shahin Shafaei, Rohan Nichol, Spencer McLaren, Lliam Murphy",,6/8/2018,106,Netflix,Fresh,92,25,Upright,78,433,4,23,2
m/all_is_well_2018,All Is Well (Alles ist gut),A woman hides a sexual assault by her new boss' brother-in-law.,"Eva Trobisch's debut film is a painful study of female trauma that extends a compassionate, while uncomfortable look to its main character, fiercely impersonated by the excellent Aenne Schwarz.",NR,Drama,Eva Trobisch,Eva Trobisch,"Aenne Schwarz, Andreas Döhler, Hans Löw, Tilo Nest, Lisa Hagmeister, Lina Wendel, Christian Heiner Wolf, Falk Rockstroh, Dagny Dewath, Thomas Gräßle, Sascha Maaz, Norbert Ortner, Franziska Rieck, Katrin Röver, Annika Blendl, Doris Buchrucker, Alexander Tschernek",,6/12/2019,93,Netflix,Fresh,100,12,Upright,69,16,4,12,0
m/all_the_bright_places,All the Bright Places,"After meeting each other, two people struggle with the emotional and physical scars of their past. They discover that even the smallest moments can mean something.","Though it at times buckles under the emotional weight of its source material, All The Bright Place succeeds on the strength of Elle Fanning and Justice Smith's charming and tender performances.",NR,"Drama, Romance",Brett Haley,,"Elle Fanning, Justice Smith, Alexandra Shipp, Keegan-Michael Key, Luke Wilson, Kelli O'Hara, Felix Mallard, Virginia Gardner, Lamar Johnson, Sofia Hasmik",,3/10/2020,107,Netflix,Fresh,66,38,Upright,61,283,7,25,13
m/always_be_my_maybe_2019,Always Be My Maybe,"Childhood sweethearts have a falling out and don't speak for 15 years. They reconnect as adults when Sasha runs into Marcus in San Francisco. Although the old sparks are still there, the couple live in different worlds.","Carried by the infectious charms of Ali Wong and Randall Park, Always Be My Maybe takes familiar rom-com beats and cleverly layers in smart social commentary to find its own sweet groove.",PG-13,Comedy,Nahnatchka Khan,"Ali Wong, Randall Park, Michael Golamco","Ali Wong, Randall Park, Keanu Reeves, Michelle Buteau, Vivian Bang, Karan Soni, Charlyne Yi, Daniel Dae Kim, James Saito, Susan Park, Ashley Liao, Jackson Geach",5/31/2019,5/31/2019,102,Netflix,Certified-Fresh,89,94,Upright,80,1908,17,84,10
m/amanda_knox,Amanda Knox,"The trial, conviction and acquittal of Amanda Knox for the murder of an exchange student in Italy.",Amanda Knox honors its subject with an absorbing -- if slightly incomplete -- look at the details and troubling implications of her arrest and subsequent fight for freedom.,NR,Documentary,"Rod Blackhurst, Brian McGinn",,"Amanda Knox, Meredith Kercher, Raffaele Sollecito",,5/23/2017,92,Netflix,Certified-Fresh,82,49,Upright,71,1165,21,40,9
m/amateur_2018,Amateur,A gifted basketball player struggles to fit in with his new team at an elite prep school.,,NR,"Drama, Sports & Fitness",Ryan Koo,Ryan Koo,"Michael Rainey Jr., Josh Charles, Brian J. White, Corey Parker Robinson, Sharon Leal",4/6/2018,4/6/2018,96,Netflix,Fresh,60,5,Upright,67,115,0,3,2
m/american_factory,American Factory,"In post-industrial Ohio, a Chinese billionaire opens a new factory in the husk of an abandoned General Motors plant. Early days of hope and optimism give way to setbacks as high-tech China clashes with working-class America.",American Factory takes a thoughtful -- and troubling -- look at the dynamic between workers and employers in the 21st-century globalized economy.,NR,Documentary,"Julia Reichert, Steven Bognar",,,8/21/2019,8/21/2019,109,Netflix,Certified-Fresh,96,89,Upright,80,498,21,85,4
m/american_son_2019,American Son,An estranged couple reunite in a Florida police station to help find their missing teenage son.,"Kerry Washington capably anchors American Son with her nervy turn as a concerned mother, but the staginess of the production ill-serves its heavy-handed social commentary.",NR,Drama,Kenny Leon,Christopher Demos-Brown,"Kerry Washington, Steven Pasquale, Jeremy Jordan, Eugene Lee",,11/1/2019,90,Netflix,Rotten,48,25,Spilled,50,330,7,12,13
m/amy_schumer_growing,Amy Schumer Growing,"Amy Schumer gives a refreshingly honest and hilarious take on marriage, pregnancy and personal growth in her new Netflix comedy special. Filmed in front of a packed house in Chicago, the comedian talks about the joys of womanhood, settling into marital bliss, and yes also you guessed it, sex!","Amy Schumer's standup matures in an hour filled with concise insights into aging and matrimony, marked with only slight Growing pains as the comedian refreshes her comedic voice.",NR,Comedy,Amy Schumer,Amy Schumer,Amy Schumer,,,60,Netflix,Fresh,79,14,Spilled,9,158,6,11,3
m/amy_schumer_the_leather_special,Amy Schumer: The Leather Special,,,NR,"Comedy, Television",Amy Schumer,,Amy Schumer,,,,Netflix,Rotten,50,8,Spilled,5,797,4,4,4
m/anima_2019,Anima,,Thom Yorke's eerie compositions blend perfectly with Paul Thomas Anderon's ethereal direction to form a bewitching meditation on alienation and what it means to connect.,NR,Musical & Performing Arts,Paul Thomas Anderson,,"Thom Yorke, Dajana Roncione",6/26/2019,6/27/2019,,Netflix,Certified-Fresh,100,22,Upright,83,12,5,22,0
m/anon,Anon,"In the near future, private memories are recorded and crime has almost ceased to exist. But in trying to solve a series of murders, troubled detective Sal Frieland stumbles upon a young woman known only as ""The Girl."" She has no identity, no history and is invisible to the cops. Sal realizes this may not be the end of crime, and it could be the beginning of it.","Lacking enough depth to fulfill its evident ambitions or enough excitement to work as a sci-fi action thriller, Anon lives down to its title in the most glumly predictable ways.",NR,"Mystery & Suspense, Science Fiction & Fantasy",Andrew Niccol,Andrew Niccol,"Clive Owen, Amanda Seyfried, Colm Feore, Mark O'Brien (IX), Sonya Walger, Joe Pingue, Iddo Goldberg, Jeffrey Men, James Tam, Jonathan Potts, Rachel Roberts (III), Sebastian Pigott, David Storch, Billy Parrott, Jean-Michel Le Gal, Daniel Stolfi, Conrad Coates, Mayko Nguyen, Jaiden Cannatelli, Doug Murray (II)",5/4/2018,5/4/2018,100,Netflix,Rotten,37,49,Spilled,35,700,9,18,31
m/anthony_jeselnik_fire_in_the_maternity_ward,Anthony Jeselnik: Fire in the Maternity Ward,,,NR,Comedy,Marcus Raboy,,Anthony Jeselnik,,,,Netflix,Fresh,80,5,,,,2,4,1
m/anthony_jeselnik_thoughts_and_prayers,Anthony Jeselnik: Thoughts and Prayers,,,NR,Comedy,Adam Dubin,Anthony Jeselnik,Anthony Jeselnik,,,,Netflix,Fresh,100,5,Upright,100,14,0,5,0
m/apostle_2018,Apostle,"London, 1905. Prodigal son Thomas Richardson has returned home, only to learn that his sister is being held for ransom by a religious cult. Determined to get her back at any cost, Thomas travels to the idyllic island where the cult lives. As Thomas infiltrates the island's community, he learns that the corruption of mainland society that they claim to reject has infested the cult's ranks nonetheless - and uncovers a secret more evil than he could have imagined.","Apostle resists easy scares in favor of a steady, slow-building descent into dread led by a commanding central performance from Dan Stevens.",NR,Mystery & Suspense,Gareth Evans,Gareth Evans,"Dan Stevens, Lucy Boynton, Mark Lewis Jones, Bill Milner, Kristine Froseth, Paul Higgins, Michael Sheen",10/12/2018,10/12/2018,129,Netflix,Certified-Fresh,78,68,Spilled,54,1301,13,53,15
m/arq,ARQ,"The oil supply has run dry, and corporations fight against nations for the world's remaining energy supplies. Trapped in a house and surrounded by a gang of mysterious masked intruders, an engineer (Robbie Amell) must protect a technology that could deliver unlimited energy and end the wars that have consumed the world. The only problem is that the technology has created a time loop that condemns him and his friends to relive the same day over and over.",,NR,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Tony Elliott,Tony Elliott,"Robbie Amell, Rachael Taylor, Gray Powell, Jacob Neayem, Shaun Benson, Adam Butcher",,4/4/2017,88,Netflix,Rotten,43,7,Spilled,46,903,1,3,4
m/atlantics,Atlantics,"After the bodies of his friends feeling Senegal for Europe wash up on a shore, a young woman assumes that her missing lover is dead.","An unpredictable supernatural drama rooted in real-world social commentary, Atlantique suggests a thrillingly bright future for debuting filmmaker Mati Diop.",NR,"Drama, Romance","Mati Diop, Mati Diop","Mati Diop, Olivier Demangel, Mati Diop","Mame Bineta Sane, Amadou Mbow, Nicole Sougou, Aminata Kane, Ibrahima Mbaye, Diankou Sembene, Abdou Balde",11/15/2019,11/29/2019,105,Netflix,Certified-Fresh,96,152,Upright,71,91,28,146,6
m/audrie_and_daisy,Audrie & Daisy,"In two towns on different sides of America, two teenage girls pass out while intoxicated at high school parties and, while unconscious, both are sexually assaulted by boys they call friends. In the aftermath, the girls each endure online harassment, both attempt suicide, and tragically, one dies. The film explores this new public square of shame from the perspective of the teenagers and their families -- including the boys involved in the assaults and the girls willing to speak out publicly.",,NR,Documentary,"Bonni Cohen, Jon Shenk","Bonni Cohen, Jon Shenk",,,12/7/2016,90,Netflix,Fresh,81,16,Upright,73,523,7,13,3
m/aziz_ansari_buried_alive,Aziz Ansari: Buried Alive,,,NR,"Comedy, Television","Will Lovelace, Dylan Southern (II)",Aziz Ansari,Aziz Ansari,11/1/2013,,,Netflix,Fresh,100,6,Spilled,50,8,5,6,0
m/aziz_ansari_live_at_madison_square_garden,Aziz Ansari: Live At Madison Square Garden,,,NR,Comedy,Aziz Ansari,Aziz Ansari,Aziz Ansari,3/6/2015,,,Netflix,,,,,,,3,7,0
m/aziz_ansari_right_now,Aziz Ansari: Right Now,,"Aziz Ansari balances sharp social commentary with just enough earnest introspection to craft a special that, while not without its baggage, shows how far the comedian has come - and how far he may still have to go.",NR,Comedy,Spike Jonze,Aziz Ansari,Aziz Ansari,,,,Netflix,Certified-Fresh,84,31,Upright,74,89,14,26,5
m/barry_2016,Barry,"Barack Obama arrives in New York in the fall of 1981 for his junior year at Columbia University. He struggles to stay connected to his mother, his estranged father and his classmates.","Barry opens a speculative window into a future president's formative college years, offering a flawed yet compelling glimpse of American history in the making.",NR,Drama,Vikram Gandhi,Adam Mansbach,"Devon Terrell, Anya Taylor-Joy, Ashley Judd, Jenna Elfman, Ellar Coltrane, Linus Roache, Avi Nash",12/16/2016,5/23/2017,104,Netflix,Certified-Fresh,80,46,Spilled,52,882,21,37,9
m/beats,Beats,"A reclusive, teenage music prodigy forms an unlikely friendship with a struggling producer. United by their mutual love of hip-hop, they try to free each other from the demons of their past and break into the city's music scene.",Beats is an entertaining - if all too familiar - coming-of-age story that is elevated by Anthony Anderson's excellent performance.,NR,Drama,Chris Robinson,Miles Feldsott,"Anthony Anderson, Uzo Aduba, Emayatzy E. Corinealdi, Khalil Everage, Dreezy, Dave East",,6/19/2019,109,Netflix,Fresh,90,10,Spilled,57,112,1,9,1
m/becoming_2020_2,Becoming,"Former first lady Michelle Obama discusses her life, hopes and connections with others.","It may not get as personal as some viewers might have hoped, but Becoming offers an uplifting look at a pivotal moment in its subject's public life.",PG,Documentary,Nadia Hallgren,,Michelle Obama,,5/7/2020,89,Netflix,Certified-Fresh,93,73,Spilled,58,258,31,68,5
m/been_so_long,Been So Long,"During a night on the town, a dedicated single mother meets a charming yet troubled stranger.",,NR,"Drama, Romance",Tinge Krishnan,Che Walker,"Michaela Coel, Arinzé Kene, George MacKay, Ronke Adekoluejo, Ashley Thomas, Joe Dempsie, Luke Norris, Rakie Ayola, Mya Lewis",10/26/2018,10/26/2018,,Netflix,Fresh,92,12,Upright,70,112,5,11,1
m/benji_2018,Benji,A dog comes to the rescue and helps heal a broken family when a boy and his sister stumble into serious danger.,,NR,Kids & Family,Brandon Camp,Brandon Camp,"Kiele Sanchez, Gabriel Bateman, Darby Camp, Jerod Haynes, Angus Sampson, Will Rothhaar, Gralen Bryant Banks&#8203;",3/16/2018,3/16/2018,87,Netflix,Fresh,60,10,Upright,70,149,5,6,4
m/between_two_ferns_the_movie,Between Two Ferns: The Movie,Zach Galifianakis hits the road to do celebrity interviews to restore his reputation.,"Between Two Ferns: The Movie shows the strain of stretching a series of web shorts to feature length, but should still satisfy fans of the source material.",NR,Comedy,Scott Aukerman,"Scott Aukerman, Zach Galifianakis","Zach Galifianakis, Ryan Gaul, Lauren Lapkus, Jiavani Linayao, Matthew McConaughey, Will Ferrell, Benedict Cumberbatch, Chrissy Teigen, John Legend, Brie Larson, Hailee Steinfeld, Peter Dinklage, Adam Scott, Awkwafina, Tiffany Haddish, Jon Hamm, Jason Schwartzman, John Cho, David Letterman, Paul Rudd, Paul Rust, Rashida Jones, Chance the Rapper, Keanu Reeves, Tessa Thompson",,9/20/2019,82,Netflix,Certified-Fresh,74,58,Spilled,43,332,13,43,15
m/bikram_yogi_guru_predator,"Bikram: Yogi, Guru, Predator","Filmmaker Eva Orner examines the dramatic rise and fall of hot yoga founder, Bikram Choudhury. Orner covers many of the details addressed in the podcast miniseries ""30 for 30.""","By exposing the corrupt systems which enabled him, Bikram: Yogi, Guru, Predator paints a disturbing -- and necessary -- portrait of the cycles of abuse endured by countless followers of the charlatan at its center.",NR,Documentary,Eva Orner,,,,11/20/2019,86,Netflix,Certified-Fresh,96,23,Upright,73,116,12,22,1
m/bill_burr_im_sorry_you_feel_that_way,Bill Burr: I'm Sorry You Feel That Way,,,NR,Comedy,Jay Karas,Bill Burr,Bill Burr,12/5/2014,,,Netflix,Fresh,100,5,Upright,94,62,2,5,0
m/bill_burr_paper_tiger,Bill Burr: Paper Tiger,,,NR,Comedy,,Bill Burr,Bill Burr,,9/10/2019,,Netflix,Fresh,86,7,Upright,96,1351,1,6,1
m/bird_box,Bird Box,"When a mysterious force decimates the population, only one thing is certain -- if you see it, you die. The survivors must now avoid coming face to face with an entity that takes the form of their worst fears. Searching for hope and a new beginning, a woman and her children embark on a dangerous journey through the woods and down a river to find the one place that may offer sanctuary. To make it, they'll have to cover their eyes from the evil that chases them -- and complete the trip blindfolded.","Bird Box never quite reaches its intriguing potential, but strong acting and an effectively chilly mood offer intermittently creepy compensation.",R,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Susanne Bier,Eric Heisserer,"Sandra Bullock, Trevante Rhodes, Jacki Weaver, Rosa Salazar, Danielle MacDonald, Lil Rel Howery, Tom Hollander, B.D. Wong, Sarah Paulson, John Malkovich, Machine Gun Kelly, David Dastmalchian",12/13/2018,12/21/2018,124,Netflix,Fresh,63,160,Spilled,57,7325,28,101,59
m/bleach_2018,Bleach,A Japanese teenager battles evil spirits and ushers lost souls into the afterlife.,,NR,"Action & Adventure, Art House & International, Science Fiction & Fantasy",Shinsuke Sato,Daisuke Habara,"Miyavi, Hana Sugisaki, Sôta Fukushi, Taichi Saotome, Erina Mano",9/14/2018,9/14/2018,108,Netflix,Fresh,67,6,Upright,77,800,0,4,2
m/bo_burnham_make_happy,Bo Burnham: Make Happy,,,NR,"Comedy, Musical & Performing Arts, Television","Bo Burnham, Christopher Storer",Bo Burnham,Bo Burnham,,,,Netflix,Fresh,100,6,Upright,88,200,1,6,0
m/brad_paisleys_comedy_rodeo,Brad Paisley's Comedy Rodeo,,,NR,Comedy,Jay Chapman,"Nate Bargatze, David Wild","Brad Paisley, Nate Bargatze, John Heffron, Jon Reep, Sarah Tiana, Mike Winfield",,,,Netflix,Fresh,60,5,,,,2,3,2
m/brahman_naman,Brahman Naman,"Naman, Ronnie, and Bernie, three sex-starved college students from the quiz team are ecstatic when they have to head to Calcutta for a competition, hoping to lose their virginity.",,NR,Comedy,Qaushiq Mukherjee,Naman Ramachandran,"Shashank Arora, Shataf Figar, Denzil Smith, Vaiswath Shankar, Tanmay Dhanania, Chaitanya Varad, Sindhu Sreenivasa Murthy, Sid Mallya",,4/4/2017,95,Netflix,Fresh,75,8,Spilled,45,132,5,6,2
m/bright,Bright,"In an alternate present day, humans, orcs, elves and fairies have been coexisting since the beginning of time. Two police officers, one a human, the other an orc, embark on a routine night patrol that will alter the future of their world as they know it. Battling both their own personal differences as well as an onslaught of enemies, they must work together to protect a young female elf and a thought-to-be-forgotten relic, which, in the wrong hands, could destroy everything.","Bright tries to blend fantasy, hard-hitting cop drama, and social commentary -- and ends up falling painfully short of the mark on all three fronts.",NR,Drama,David Ayer,Max Landis,"Will Smith, Joel Edgerton, Noomi Rapace, Lucy Fry, Edgar Ramirez, Ike Barinholtz, Enrique Murciano, Jay Hernandez, Andrea Navedo, Van Veronica Ngo, Alex Meraz, Margaret Cho, Brad William Henke, Dawn Olivieri, Kenneth Choi",12/22/2017,12/22/2017,117,Netflix,Rotten,28,109,Upright,83,19445,22,30,79
m/burning_sands_2017,Burning Sands,"Zurich Condoll (Trevor Jackson) is a student at Frederick Douglass University and is proud to be a pledge at a famous African-American fraternity. But anti-hazing rules have driven his Hell Week underground, and the veteran members of his fraternity have degenerated into a pack of vicious, drunken, sadistic louts.","Burning Sands covers familiar territory, but Trevor Jackson's layered performance and director/co-writer Gerard McMurray's empathetic approach help set it apart.",NR,Drama,Gerard McMurray,"Gerard McMurray, Christine Berg","Trevor Jackson, Alfre Woodard, Trevante Rhodes, DeRon Horton, Rotimi, Tosin Cole, Imani Hakim, Serayah",3/10/2017,3/10/2017,96,Netflix,Fresh,88,26,Upright,60,314,9,23,3
m/calibre,Calibre,Two friends have their nerves and morals tested during a hunting trip in Scotland.,,NR,Mystery & Suspense,Matt Palmer,Matt Palmer,"Jack Lowden, Martin McCann, Tony Curran, Ian Pirie, Kate Bracken, Kitty Lovett, Cal Macaninch, Cameron Jack, Olivia Morgan",,6/29/2018,101,Netflix,Fresh,95,20,Upright,74,691,3,19,1
m/candy_jar,Candy Jar,An introverted high school girl from a working-class background falls in love with her wealthy debate team nemesis and realizes they share more in common than they thought.,,NR,Comedy,Ben Shelton,Chad Klitzman,"Christina Hendricks, Helen Hunt, Uzo Aduba, Tom Bergeron, Sami Gayle",4/27/2018,4/27/2018,,Netflix,Fresh,71,7,Upright,67,126,0,5,2
m/cargo_2018,Cargo,,Cargo takes a refreshingly character-driven approach to the zombie genre that's further distinguished by its Australian setting and Martin Freeman's terrific lead performance.,NR,"Drama, Mystery & Suspense","Yolanda Ramke, Ben Howling",Yolanda Ramke,"Martin Freeman, Natasha Wanganeen, David Gulpilil, Anthony Hayes, Susie Porter, Caren Pistorius, Kris McQuade, Simone Landers",,,,Netflix,Certified-Fresh,88,75,Upright,65,1670,12,66,9
m/catching_feelings,Catching Feelings,The lives of a formerly-famous writer and his wife are disrupted when a famous and very self-indulgent author comes to stay with them.,,NR,"Comedy, Romance",Kagiso Lediga,Kagiso Lediga,"Kagiso Lediga, Andrew Buckland, Akin Omotoso, Precious Makgaretsa",5/18/2018,5/18/2018,124,Netflix,Fresh,100,7,Spilled,59,109,0,7,0
