rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/1012813-love_bug,The Love Bug,"Race car driver Jim Douglas (Dean Jones) and his philosophical mechanic, Tennessee Steinmetz (Buddy Hackett), find themselves in possession of a white Volkswagen Beetle that seems to have a mind and spirit of its own. Calling the car Herbie, Jim and Tennessee become the talk of the California racing circuit -- much to the displeasure of sports-car dealer Peter Thorndyke (David Tomlinson), who tries to use his assistant (Michele Lee) to come between the friends and their car.",,G,"Action & Adventure, Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Robert Stevenson,"Bill Walsh, Don DaGradi","Dean Jones, Michele Lee, Buddy Hackett, David Tomlinson, Joe Flynn, Benson Fong, Joe E. Ross, Barry Kelley, Iris Adrian, Andy Granatelli, Bert Convy, Dale Van Sickel, Regina Parton, Bob Drake, Hal Brock, Gerald Jann, Ted Duncan, Gene Roscoe, Charles Willis Jr., Gene Curtis, John Timanus, Fred Krone, Jesse Wayne, Fred Stromsoe, Hope Lange, Kim Brewer, Ned Glass, Robert Reed, Pete L. Renoudet, Gil Lamb, Nicole Jaffe, Russ Caldwell, Peter Renaday, Alan Fordney, Gary Owens, Robert Foulk, Jim McCullough Sr., Wally Boag, Max Balchowsky, Brian Fong, Stan Duke, Chick Hearn, Pedro Gonzalez Gonzalez",3/13/1969,7/1/2016,107,Disney,Fresh,76,17,Upright,66,39845,5,13,4
m/1016213-peter_pan,Peter Pan,"In this Disney animated film, Wendy (Kathryn Beaumont) and her two brothers are amazed when a magical boy named Peter Pan (Bobby Driscoll) flies into their bedroom, supposedly in pursuit of his rebellious shadow. He and his fairy friend, Tinkerbell, come from a far-off place called Neverland, where children stay perpetually young. Enchanted, the kids follow him back. But when Pan's nemesis, the pirate Captain Hook (Hans Conried), causes trouble, the kids begin to miss their old life.","Though it doesn't delve deeply into the darkness of J.M. Barrie's tale, Peter Pan is a heartwarming, exuberant film with some great tunes.",G,"Animation, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy","Wilfred Jackson, Clyde Geronimi, Hamilton Luske","Ralph Wright, Erdman Penner, Joe Rinaldi, William Cottrell, Milt Banta, Bill Peet, Winston Hibler, Ted Sears","Bobby Driscoll, Kathryn Beaumont, Hans Conried, Bill Thompson, Heather Angel, Paul Collins, Tommy Luske, Candy Candido, Tom Conway, Roland DuPree",2/5/1953,6/29/2018,76,Walt Disney,Fresh,81,36,Upright,80,277986,6,29,7
m/1016512-pollyanna,Pollyanna,"Young orphan Pollyanna (Hayley Mills) believes life's most difficult problems can always be surmounted by a positive attitude and pragmatism. But when she moves in with her dour aunt (Jane Wyman), she is introduced to a range of disheartened folks who challenge her upbeat outlook. Not to be discouraged, she sets to work spreading hope and good cheer. However, when an inspired doctor (Richard Egan) leads the community in a campaign in opposition to her aunt, Pollyanna's goodwill is strained.",,G,"Drama, Kids & Family",David Swift,,"Hayley Mills, Jane Wyman, Richard Egan, Karl Malden, Agnes Moorehead, Nancy Olson, Adolphe Menjou, Kevin Corcoran, Donald Crisp, James Drury, Reta Shaw, Leora Dana, Anne Seymour, Edward Platt, Mary Grace Canfield, Jenny Egan, Gage Clarke, Ian Wolfe, Nolan Leary, Edgar Dearing, Harry Harvey, William Newell",5/19/1960,2/28/2016,134,Walt Disney Productions,Fresh,86,14,Upright,79,20895,2,12,2
m/1017488-return_to_oz,Return to Oz,"Dorothy discovers she is back in the land of Oz, and finds the yellow brick road is now a pile of rubble, and the Emerald City is in ruins. Discovering that the magical land is now under the control of an evil empire, she sets off to rescue the scarecrow, the tin man and the lion with the help of her new friends.",Return to Oz taps into the darker side of L. Frank Baum's book series with an intermittently dazzling adventure that never quite recaptures the magic of its classic predecessor.,PG,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",Walter Murch,"Gill Dennis, Walter Murch","Fairuza Balk, Nicol Williamson, Stewart Larange, Jean Marsh, Deep Roy, Piper Laurie, Matt Clark, Michael Sundin, Tim Rose, Mak Wilson, Stephen Norrington, Justin Case, John Alexander, Emma Ridley, Sophie Ward, Fiona Victory, Pons Maar, Bruce Boa, Susan Dacre, Geoff Felix, David Greenaway, Swee Lim, Rachel Ashton, Robbie Barnett, Alisa Berk, Peter Elliott, Roger Ennals, Michele Hine, Mark Hopkins, Colin Skeaping, Ken Stevens, Phil Tan, Robert Thirtle, Nicola Roche, Cheryl Brown, Alison Lynn, Sarah White",6/21/1985,5/4/2016,110,Walt Disney Studios,Rotten,53,34,Upright,71,62092,10,18,16
m/1018702-shaggy_dog,The Shaggy Dog,"The son of dog-hating former mailman Wilson Daniels (Fred MacMurray), young Wilby (Tommy Kirk) accidentally becomes a canine himself when he stumbles upon an ancient curse. Inadvertently invoking a magical spell engraved on a centuries-old ring, Wilby begins turning into a sheepdog at unpredictable times, only to later return to human form. As if this wasn't enough for Wilby, he overhears a plot to steal secret government information while in dog form, leading to unexpected adventure.",,G,"Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Charles Barton,"Lillie Hayward, Bill Walsh","Fred MacMurray, Tommy Kirk, Jean Hagen, Annette Funicello, Tim Considine, Kevin Corcoran, Cecil Kellaway, Alexander Scourby, Roberta Shore, James Westerfield, Jacques Aubuchon, Strother Martin, Forrest Lewis, Ned Wever, Gordon Jones, John Hart, Jack Albertson, Mack Williams, Paul H. Frees, Shaggy",3/19/1959,3/1/2016,104,Walt Disney Productions,Fresh,68,19,Spilled,48,9043,4,13,6
m/1021964-treasure_island,Treasure Island,"In this Disney adaptation of Robert Louis Stevenson's classic novel, young Jim Hawkins (Bobby Driscoll) finds a map to the coveted treasure of the notorious pirate Captain Flint. Jim enlists Dr. Livesy (Denis O'Dea) and Squire Trelawney (Walter Fitzgerald) to prepare for the voyage. Along the way, the likes of infamous pirate Long John Silver (Robert Newton) and other nefarious swashbucklers join the crew, and they set sail on the Caribbean Sea aboard the Hispaniola.",,PG,"Action & Adventure, Classics, Kids & Family",Byron Haskin,Lawrence Edward Watkin,"Robert Newton, Bobby Driscoll, Basil Sydney, Walter Fitzgerald, Denis O'Dea, Ralph Truman, Finlay Currie, John Laurie, Francis De Wolff, Geoffrey Wilkinson, David Davies, Andrew Blackett, Paddy Brannigan, Ken Buckle, John Gregson, Howard Douglas, Geoffrey Keen, William Devlin, Diarmuid Kelly, Sam Kydd, E. Edwin Moran, Harry Locke, Harold Jamieson, Stephen Jack, Jack Arrow, Jim O'Brady, Chris Adcock, Reginald Drummond, Gordon Mulholland, Patrick Troughton, Leo Phillips, Fred Clark, Tom Lucas, Bob Head",7/19/1950,7/1/2015,96,Walt Disney Productions,Fresh,100,7,Upright,67,8736,0,7,0
m/1046227-cool_runnings,Cool Runnings,"Four Jamaican bobsledders dream of competing in the Winter Olympics, despite never having seen snow. With the help of a disgraced former champion desperate to redeem himself, the Jamaicans set out to become worthy of Olympic selection, and go all out for glory.","Cool Runnings rises above its formulaic sports-movie themes with charming performances, light humor, and uplifting tone.",PG,Comedy,Jon Turteltaub,"Lynn Siefert, Tommy Swerdlow","Leon, Doug E. Doug, Rawle D. Lewis, Malik Yoba, John Candy, Raymond J. Barry, Peter Outerbridge, Larry Gilman, Charles Hyatt, Bertina Macauley, Paul Coeur, Winston Stona, Pauline Stone-Myrie, Kristoffer Cooper, Bill Dow, Jay Brazeau, Campbell Lane, Matthew Walker, Christopher Gaze, Jack Goth, David Lovgren",10/1/1993,12/13/2015,97,Disney,Certified-Fresh,76,42,Upright,81,532977,11,32,10
m/1046772-three_musketeers,The Three Musketeers,"D'Artagnan (Chris O'Donnell) travels to Paris hoping to become a musketeer, one of the French king's elite bodyguards, only to discover that the corps has been disbanded by conniving Cardinal Richelieu (Tim Curry), who secretly hopes to usurp the throne. Fortunately, Athos (Kiefer Sutherland), Porthos (Oliver Platt) and Aramis (Charlie Sheen) have refused to lay down their weapons and continue to protect their king. D'Artagnan joins with the rogues to expose Richelieu's plot against the crown.","Its starry trio of do-gooders may promise to fight ""one for all, all for one,"" but this Three Musketeers is a slickly unmemorable update bound to satisfy very few.",PG,"Action & Adventure, Comedy, Kids & Family, Romance",Stephen Herek,David Loughery,"Charlie Sheen, Kiefer Sutherland, Chris O'Donnell, Oliver Platt, Tim Curry, Rebecca De Mornay, Gabrielle Anwar, Michael Wincott, Paul McGann, Julie Delpy, Lucky Englander, Hugh O'Conor, Christopher Adamson, Fritz Fleischhacker, Philip Tan, Sebastian Eckhardt, Nichola Cordey, Erwin Leder, Axel Anselm, Bruno Thost, Oliver Hoppa, Emma Louise Moore, Herbert Fux",11/12/1993,5/27/2016,105,Disney,Rotten,28,29,Upright,62,169772,7,8,21
m/1048445-snow_white_and_the_seven_dwarfs,Snow White and the Seven Dwarfs,"The Grimm fairy tale gets a Technicolor treatment in Disney's first animated feature. Jealous of Snow White's beauty, the wicked queen orders the murder of her innocent stepdaughter, but later discovers that Snow White is still alive and hiding in a cottage with seven friendly little miners. Disguising herself as a hag, the queen brings a poisoned apple to Snow White, who falls into a death-like sleep that can be broken only by a kiss from the prince.","With its involving story and characters, vibrant art, and memorable songs, Snow White and the Seven Dwarfs set the animation standard for decades to come.",G,"Animation, Classics, Kids & Family, Science Fiction & Fantasy","David Hand, William Cottrell, David D. Hand, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen, Dorothy Ann Blank, Dick Richard, Walt Disney, Richard Creedon, Merrill de Maris, Webb Smith","Dorothy Anne Blank, Dick Richards, Ted Sears, Dick Rickard, Earl Hurd, Webb Smith, Otto Englander, Richard Creedon, Merrill de Maris, Dorothy Ann Blank, Dick Richard","Adriana Caselotti, Marge Champion, Harry Stockwell, Stuart Buchanan, Roy Atwell, Pinto Colvig, James MacDonald, Lucille La Verne, Billy Gilbert, Eddie Collins, Marion Darlington, Snow White",12/21/1937,9/1/2016,80,Walt Disney Pictures,Certified-Fresh,98,53,Upright,78,470351,8,52,1
m/1070061-before_and_after,Before and After,"The lives of Carolyn Ryan (Meryl Streep), a small-town doctor, and her artist husband, Ben (Liam Neeson), are shaken up when their son, Jacob (Edward Furlong), becomes the prime suspect in the death of a local teen girl. While Carolyn is intent on learning the truth about her son's involvement, Ben is willing to protect him at any cost, regardless of his guilt or innocence. When Jacob finally tells his parents what happened, events take a surprising series of turns.",,PG-13,"Drama, Mystery & Suspense",Barbet Schroeder,Ted Tally,"Meryl Streep, Liam Neeson, Edward Furlong, Julia Weldon, Alfred Molina, Daniel von Bargen, John Heard, Ann Magnuson, Alison Folland, Kaiulani Lee, Larry Pine, Ellen Lancaster, Wesley Addy, Oliver Graney, Bernadette Quigley, Pamela Blair, John Wylie, Timothy Patrick Cavanaugh, John Deyle, Tim Cavanaugh, John Webber, Jay Potter, Sharon Ullrick, Robert Westenberg, Susan May Pratt",2/23/1996,3/1/2016,108,Disney,Rotten,32,19,Spilled,35,5451,5,6,13
m/1072011-rock,The Rock,"FBI chemical warfare expert Stanley Goodspeed (Nicolas Cage) is sent on an urgent mission with a former British spy, John Patrick Mason (Sean Connery), to stop Gen. Francis X. Hummel (Ed Harris) from launching chemical weapons on Alcatraz Island into San Francisco. Gen. Hummel demands $100 million in war reparations to be paid to the families of slain servicemen who died on covert operations. After their SEAL team is wiped out, Stanley and John deal with the soldiers on their own.","For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain.",R,Action & Adventure,Michael Bay,"David Weisberg, Douglas S. Cook, Mark Rosner, Michael Bay","Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn, William Forsythe, David Morse, John Spencer, John C. McGinley, Tony Todd, Bokeem Woodbine, Danny Nucci, Vanessa Marcil Giovinazzo, Gregory Sporleder, Jim Maniaci, Greg Collins, Brendan Kelly, Steve Harris, Claire Forlani, Celeste Weaver, Todd Louiso, David Bowe, Raquel Krelle, Dennis Chalker, Marshall R. Teague, Duffy Gaver, Steve Decker, Joseph Hawes, Carlos Sandoval, Mike Mahrer, Rick Toms, Billy Devlin, Jack Yates, Juan A. Riojas, Joseph Patrick Kelly, Ingo Neuhaus, Harry Humphries, Howard Platt, Willie Garson, John Nathan Turner, Robert M. Anselmo, Jack Ford, T.J. Hageboeck, Dwight Hicks, Ralph Peduto, Anthony Clark, Andy Ryan, Hans Georg Struhar, Robert C. Besgrove, Sean Skelton, Raymond O'Connor, Jane Sanguinetti Luenell, Luenell, John W. Love Jr., Sam Whipple, Tom Towles, Robert Ben Rajab, Ronald Simmons, Leonard McMahan, Anthony Guidera, Jim Caviezel, John Enos III, Ken Kells, Fred Salvallon, Buck Kartalian",6/7/1996,3/2/2017,136,Disney,Fresh,66,65,Upright,85,305198,22,43,22
m/1073037-hunchback_of_notre_dame,The Hunchback of Notre Dame,"An animated Disney adventure follows disfigured Quasimodo (Tom Hulce), the bell-ringer of Notre Dame Cathedral, who bides his time locked away in a tower. With only gargoyles to keep him company, Quasimodo longs to be with other people, leading to his chance encounter with the enchanting Gypsy Esmeralda (Demi Moore). When the beautiful young woman catches the attention of Quasimodo's guardian, sinister Frollo (Tony Jay), Quasimodo must help to keep her out of his clutches.","Disney's take on the Victor Hugo classic is dramatically uneven, but its strong visuals, dark themes, and message of tolerance make for a more-sophisticated-than-average children's film.",G,"Animation, Drama, Kids & Family","Gary Trousdale, Kirk Wise","Tab Murphy, Bob Tzudiker, Irene Mecchi, Noni White, Jonathan Roberts","Tom Hulce, Demi Moore, Tony Jay, Kevin Kline, Paul Kandel, Jason Alexander, Mary Wickes, Charles Kimbrough, David Ogden Stiers, Tim Pigott-Smith, Mary Kay Bergman, Corey Burton, Bill Fagerbakke, Patrick Pinney, Gary Trousdale, Jane Withers, Jack Angel, Joan Barber, Scott Barnes, Bob Bergen, Susan Blu, Maureen Brennan, Rodger Bumpass, Victoria Clark, Philip L. Clarke, Jennifer Darling, Debi Derryberry, Jonathan Dokuchitz, Bill Farmer, Laurie Faso, Merwin Foard, Dana Hill, Judy Kaye, Eddie Korbich, Alix Korey, Michael Lindsay, Sherry Lynn, Mona Marshall, Mickie T. McGowan, Anna McNeely, Bruce Moore, Denise Pickering, Phil Proctor, Jan Rabson, Peter Samuel, Kath Soucie, Stanley Gordon, Mary Stout, Marcelo Tubert",6/21/1996,2/25/2016,86,Walt Disney Feature Animation,Fresh,71,56,Upright,70,125849,17,40,16
m/1075251-that_darn_cat,That Darn Cat,"Bored with her quiet suburban Massachusetts town, bratty Patti Randall (Christina Ricci) is excited when her beloved cat, D.C., comes back to the house with a watch around his neck. After seeing that the timepiece has an appeal for help scratched on the back, Patti realizes it belongs to a recently kidnapped maid. She takes it it to FBI Agent Zeke Kelso (Doug E. Doug), who agrees to try and follow D.C.'s path to the missing woman, despite his skepticism.",,PG,"Action & Adventure, Art House & International, Comedy, Kids & Family",Bob Spiers,"Scott Alexander, Larry Karaszewski","Christina Ricci, Doug E. Doug, Dean Jones, Peter Boyle, Dyan Cannon, Michael McKean, Bess Armstrong, John Ratzenberger, Megan Cavanagh, Estelle Parsons, Rebecca Schull, Thomas F. Wilson, Brian Haley, Mark Christopher Lawrence, Rebecca Koon, Ned Bellamy, Brad Sherwood, Rob Cleveland, Jeffrey King, Tom Turbiville, Libby Whittemore, Cassandra Lawton, Margo Moorer, Hillary Tolle, Paula Jones, Kinsey McLean, Jon Kohler, Wilber T. Fitzgerald, Terrence Gibney, Harvey Reaves, Michael Genevie, Bill Coates, Alex Van, Michelle B. Cooper, Stephen Michael Ayers, Douglas Myers, Frank Smith, LaRue Stanley, David Wayne Evans, Margaret Ellis, George Dzundza",2/14/1997,5/31/2016,89,Disney,Rotten,13,15,Spilled,23,15369,4,2,13
