rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/10009225-body_of_lies,Body of Lies,"CIA agent Roger Ferris (Leonardo DiCaprio) hatches a bold but dangerous plan to capture terrorist Al-Saleem. With the help of Ed Hoffman (Russell Crowe) who is a master of subterfuge, Ferris creates a fake terrorist organization to prompt Al-Saleem out of hiding. At the same time, Ferris must keep his plan secret from Hani (Mark Strong), the head of Jordanian intelligence, because Ferris will lose his own life if Hani finds out.",Body of Lies relies on the performances of Russell Crowe and Leonardo DiCaprio to elevate it beyond the conventional espionage thriller.,R,"Drama, Mystery & Suspense",Ridley Scott,William Monahan,"Leonardo DiCaprio, Russell Crowe, Mark Strong (II), Golshifteh Farahani, Oscar Isaac, Ali Suliman, Simon McBurney, Alon Aboutboul",10/8/2008,9/1/2010,128,Warner Bros. Pictures,Rotten,55,213,Upright,62,130010,54,117,96
m/1001063-anna_karenina,Anna Karenina,"This 19th-century period piece is an adaptation of Leo Tolstoy's classic novel. On a trip to St. Petersburg, Anna Karenina (Greta Garbo), neglected wife of the famed Alexei Alexandrovitch Karenin (Basil Rathbone), meets a handsome military officer, Count Vronsky (Freddie Bartholomew). Vronsky becomes enamored of Anna and follows her back to Moscow to confess his feelings. Will she follow her heart to be with him, even if it destroys her family and results in public disgrace?",,NR,"Classics, Drama, Romance",Clarence Brown,"Clemence Dane, Salka Viertel, S.N. Behrmann","Greta Garbo, Fredric March, Basil Rathbone, Freddie Bartholomew, Maureen O'Sullivan, May Robson, Reginald Owen, Reginald Denny, Phoebe Foster, Gyles Isham, Buster Phelps, Ella Ethridge, Joan Marsh, Sidney Bracey, Cora Sue Collins, Joseph R. Tozer, Guy D'Ennery, Harry Allen, Mary Forbes, Ethel Griffies, Harry Beresford",1/1/1935,8/4/2008,95,WARNER BROTHERS PICTURES,Fresh,93,14,Upright,69,3066,0,13,1
m/10010658-orphan,Orphan,"Devastated by the loss of their unborn baby, Kate (Vera Farmiga) and John (Peter Sarsgaard) decide to adopt a child. At the orphanage, both feel drawn to a little girl (Isabelle Fuhrman) named Esther, and soon the couple take their new daughter home. But when a dangerous series of events unfolds, Kate begins to suspect that there is something evil lurking behind the child's angelic exterior.","While it has moments of dark humor and the requisite scares, Orphan fails to build on its interesting premise and degenerates into a formulaic, sleazy horror/thriller.",R,"Drama, Horror, Mystery & Suspense",Jaume Collet-Serra,David Leslie Johnson-McGoldrick,"Peter Sarsgaard, Vera Farmiga, Isabelle Fuhrman, CCH Pounder, Jimmy Bennett, Aryana Engineer, Karel Roden, Margo Martindale, Rosemary Dunsmore, Jamie Young, Lorry Ayers, Brendan Wall, Genelle Williams, Mustafa Abdelkarim, Landon Norris, Julien Elia, Leni Parker",7/24/2009,7/24/2014,123,Warner Bros. Pictures,Rotten,56,154,Upright,63,872860,42,86,68
m/10010662-my_sisters_keeper,My Sister's Keeper,"Conceived as a marrow donor for her gravely ill sister, Anna Fitzgerald (Abigail Breslin) has undergone countless surgeries and medical procedures in her short life. Though their older daughter's life has no doubt been prolonged, the unorthodox decision of Anna's parents has cracked the entire family's foundation. When Anna sues her parents for emancipation, it sets off a court case that threatens to destroy the family for good.","My Sister's Keeper gets fine performances from its adult and child actors, but the director's heavy-handed approach turns a worthy emotional subject into an overly melodramatic tearjerker.",PG-13,Drama,,,,6/26/2009,5/15/2014,108,Warner Bros. Pictures,Rotten,48,137,Upright,72,365345,42,66,71
m/10010667-hangover,The Hangover,"Two days before his wedding, Doug (Justin Bartha) and three friends (Bradley Cooper, Ed Helms, Zach Galifianakis) drive to Las Vegas for a wild and memorable stag party. In fact, when the three groomsmen wake up the next morning, they can't remember a thing; nor can they find Doug. With little time to spare, the three hazy pals try to re-trace their steps and find Doug so they can get him back to Los Angeles in time to walk down the aisle.","With a clever script and hilarious interplay among the cast, The Hangover nails just the right tone of raunchy humor, and the non-stop laughs overshadow any flaw.",R,Comedy,Todd Phillips,"Jon Lucas, Todd Phillips, Scott Moore","Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha, Heather Graham, Sasha Barrese, Jeffrey Tambor, Ken Jeong, Rachael Harris, Mike Tyson, Mike Epps, Jernard Burks, Rob Riggle, Cleo King, Bryan Callen, Matt Walsh, Ian Anthony Dale, Michael Li, Sondra Currie, Gillian Vigman, Nathalie Fay, Chuck Pacheco, Jesse Erwin, Dan Finnerty, Keith Lyle, Brody Stevens, Todd Phillips, Mike Vallely, James Martin Kelly, Murray Gershenz, Andrew Astor, Casey Margolis, Ken Flaherty, Constance Broge, Sue Pierce, Floyd Levine, Robert A. Ringler",6/5/2009,1/7/2014,99,Warner Bros. Pictures,Certified-Fresh,78,239,Upright,84,943179,51,187,52
m/10012039-lottery_ticket,Lottery Ticket,"Kevin Carson (Bow Wow), an ordinary guy living in the projects, wins a $370 million lottery. Unfortunately, the claim office is closed for a long holiday weekend, and he must keep his good fortune a secret. But the news spreads like wildfire, and Kevin must figure out how to survive three days among the friends, family and neighbors who want a piece of the pie.","There's a worthwhile message at the heart of Lottery Ticket, but it's buried under stale humor, tired stereotypes, and obvious clichés.",PG-13,Comedy,Erik White,Abdul Williams,"Bow Wow, Brandon T. Jackson, Naturi Naughton, Loretta Devine, Ice Cube, Keith David, Terry Crews, Mike Epps, Charlie Murphy, Bill Bellamy, Gbenga Akinnagbe, Chris Williams (XII), Vince Green, Leslie Jones, Malieek Straughter, Jason Weaver, Teairra Mari, Fahim Najm, T-Pain, Stacie Davis, Andre Mayon, D.J. ""Bishop"" Rogers, Brittany Eady, Timfreit D'Rane, Mike Pniewski, Sky Cameron, Eric J. Little, Taneka Johnson, Tonea Stewart, IronE Singleton, Darryl D. Moore, Danielle Lewis, Shantis Thompson, Maria Duarte, Miko Defoor, Bobby L. Graham, Sr., L. Stephanie Ray, Lance Toland, Carl Rydlund",8/20/2010,4/16/2012,95,Warner Bros. Pictures,Rotten,34,82,Spilled,44,29996,24,28,54
m/10012044-life_as_we_know_it,Life as We Know It,"After a disastrous first date, the only things Holly Berenson (Katherine Heigl) and Eric Messer (Josh Duhamel) have in common are mutual dislike and their love for their goddaughter, Sophie. When they unexpectedly become her caretakers, Holly and Eric have to put aside their differences and learn to work together for the sake of the child. Juggling competing career and social commitments, Holly and Eric look for common ground while living under the same roof.","Katherine Heigl and Josh Duhamel make a charming couple with plenty of chemistry, but that isn't enough to make up for Life as We Know It's formulaic plot and poorly written script.",PG-13,"Comedy, Drama","Gary Berlanti, Greg Berlanti","Ian Deitchman, Kristin Rusk Robinson","Katherine Heigl, Josh Duhamel, Josh Lucas, Alexis Clagett, Brynn Clagett, Brooke Clagett, Hayes MacArthur, Christina Hendricks, Sarah Burns, Jessica St. Clair, Brooke Liddell, Kiley Liddell, Britt Flatmo, Rob Huebel, Melissa McCarthy, DeRay Davis, Kumail Nanjiani, Andrew Daly, Bill Brochtrup, Will Sasso, Majandra Delfino, Jason MacDonald, Tara Ochs, Wilbur Fitzgerald, Melissa Ponzio, Reggie Lee, Markus Flanagan, Brooke Josephson, Chanta Rivers, Eric Phillips, Andy Buckley (II), L. Warren Young, Johanna Jowett, Jody Thompson, Horace Toney, Millie Fairchild, Rob Nagle, Katie Kneeland, Kate Kneeland, Patricia French, Ron Clinton Smith, Antwan Mills, Steve Nash, Shayne Kohout, Danielle L. Grant, Eddie Frierson, Jean Smart",10/8/2010,6/1/2013,113,Warner Bros. Pictures,Rotten,29,151,Upright,61,82457,41,44,107
m/1001428-awakening,The Awakening,"When a British archaeologist (Charlton Heston) violates an Egyptian queen's tomb, her evil spirit enters his daughter (Stephanie Zimbalist).",,R,"Horror, Mystery & Suspense",Mike Newell,"Clive Exton, Gina Berriault, Chris Bryant, Allan Scott","Charlton Heston, Susannah York, Jill Townsend, Stephanie Zimbalist, Patrick Drury, Bruce Myers, Nadim Sawalha, Ian McDiarmid, Osman Ahmed, Miriam Margolyes, Michael Mellinger, Leonard Maguire, Ishia Bennison, Madhav Sharma, Christopher Fairbank, Michael Halphie, Roger Kemp",10/1/1980,1/1/2008,102,WARNER BROTHERS PICTURES,Rotten,0,5,Spilled,22,421,0,0,5
m/1001572-bad_seed,The Bad Seed,"Air Force Colonel Kenneth Penmark (William Hopper) and his wife, Christine (Nancy Kelly), dote on their pig-tailed daughter, Rhoda (Patty McCormack) -- as does their lonely landlady, Monica Breedlove (Evelyn Varden). But self-centered Rhoda has a secret tendency for selfishness and loves to accumulate gifts, whether given or stolen, in her room. Christine keeps her knowledge of her daughter's darker side to herself, but when a schoolmate of Rhoda's dies mysteriously, her self-deception unravels.",,NR,"Classics, Drama, Horror, Mystery & Suspense",Mervyn LeRoy,John Lee Mahin,"Patty McCormack, Nancy Kelly, Eileen Heckart, Henry Jones, William Hopper, Evelyn Varden, Paul Fix, Jesse White, Gage Clarke, Joan Croydon, Frank Cady",9/12/1956,4/19/2016,129,WARNER BROTHERS PICTURES,Fresh,63,27,Upright,83,8639,5,17,10
m/1002352-big_sleep,The Big Sleep,"Private investigator Philip Marlowe (Humphrey Bogart) is hired by General Sternwood to help resolve the gambling debts of his wild young daughter, Carmen (Martha Vickers). Sternwood's older daughter, Vivian (Lauren Bacall), provides assistance when she implies that the situation is more complex, and also involves casino owner (John Ridgely) and a recently disappeared family friend. As people linked to the Sternwoods start being murdered, Marlowe finds himself getting ever deeper into the case.","A perfect match of screenplay, director, and leading man, The Big Sleep stands as a towering achievement in film noir whose grim vitality remains undimmed.",PG,"Classics, Drama, Mystery & Suspense",Howard Hawks,"William Faulkner, Leigh Brackett, Jules Furthman","Humphrey Bogart, Lauren Bacall, Martha Vickers, Dorothy Malone, John Ridgely, Louis Jean Heydt, Regis Toomey, Sonia Darrin, Bob Steele, Tom Rafferty, Charles Waldron, Elisha Cook Jr., Charles D. Brown, Tom Fadden, Tom Raffery, Ben Welden, Trevor Bardette, James Flavin, Joy Barlowe, Peggy Knudsen, Theodore von Eltz, Carole Douglas, Dan Wallace, Tanis Chandler, Thomas E. Jackson, Deannie Best, Lorraine Miller, Shelby Payne, Forbes Murray, Jack Chefe, Joseph Crehan, Emmett Vogan, Paul Weber, Jack Perry",8/31/1946,9/11/2015,114,Warner Bros. Pictures,Certified-Fresh,97,65,Upright,91,33511,15,63,2
m/1002484-black_christmas,Black Christmas,"As winter break begins, a group of sorority sisters, including Jess (Olivia Hussey) and the often inebriated Barb (Margot Kidder), begin to receive anonymous, lascivious phone calls. Initially, Barb eggs the caller on, but stops when he responds threateningly. Soon, Barb's friend Claire (Lynne Griffin) goes missing from the sorority house, and a local adolescent girl is murdered, leading the girls to suspect a serial killer is on the loose. But no one realizes just how near the culprit is.","The rare slasher with enough intelligence to wind up the tension between bloody outbursts, Black Christmas offers fiendishly enjoyable holiday viewing for genre fans.",R,"Horror, Mystery & Suspense",Bob Clark,"Roy Moore, Reginald Morris","Olivia Hussey, Keir Dullea, Margot Kidder, John Saxon, Andrea Martin, Marion Waldman, Art Hindle, Lynne Griffin, Michael Rapport, Roy Moore, James Edmond, Doug McGrath, Les Carlson, Martha Gibson, John Rutter, Robert Warner, Syd Brown, Les Rubie, Jack Van Evera, Marcia Diamond, Pam Barney, Robert Hawkins, David Clement, Julian Reed, Dave Mann, John Stoneham, Danny Gain, Tom Foreman",12/20/1974,12/13/2016,98,Warner Bros. Pictures,Fresh,71,34,Upright,75,23059,4,24,10
m/1003276-burglar,Burglar,"Bookstore owner and burglar Bernie (Whoopi Goldberg) is being blackmailed by corrupt cop Ray (G.W. Bailey), forcing her into her most ambitious job yet: a jewelry store heist she's woefully under prepared for. Things head south quickly when a murder occurs and Bernie is framed for the death. Now Bernie and her manic sidekick, Carl (Bob Goldthwait), have to clear Bernie's name so she can get back to her normal routine of selling books and stealing.",,R,"Comedy, Drama",Hugh Wilson,"Hugh Wilson, Matthew Weisman, Jeph Loeb","Whoopi Goldberg, Bobcat Goldthwait, Lesley Ann Warren, G.W. Bailey, James Handy, Anne De Salvo, John Goodman, Elizabeth Ruscio, Vyto Ruginis, Larry Mintz, Thom Bray, Raye Birk, Eric Poppick, Scott Lincoln, Nathan Davis, Stephen Shellen, Rick Hamilton, Robert Ernst, Michael Pniewski, Gary Hershberger, Jack O'Leary, John LeFan, Margaret Lenzey, Ethan Phillips, James Terry, Amy Michelson, Michael Nesmith, Spike Sorrentino, Hugh Wilson, Jack Andreozzi, Al Pugliese, Justin Derosa, Vincent Pantone, Elaine Corral, Bill Jelliffe, David J. Partington",3/20/1987,1/2/2009,102,Warner Home Video,Rotten,27,11,Spilled,39,6731,1,3,8
m/1003399-calamity_jane,Calamity Jane,"In the lonely Deadwood, Dakota, territory, sharpshooter Calamity Jane (Doris Day) falls for cavalry Lt. Danny Gilmartin (Philip Carey) when she is forced to rescue him from the Indians. Recognizing that the women-starved townsmen long for a ""real"" woman, Calamity journeys to Chicago to bring back famous singer Adelaid Adams, but mistakenly brings her maid Katie instead. Heartbroken when Danny falls for Katie, Calamity all but ignores her jovial friend Wild Bill Hickok (Howard Keel).",,G,"Classics, Comedy, Musical & Performing Arts, Western, Romance",David Butler,James O'Hanlon,"Doris Day, Howard Keel, Allyn Ann McLerie, Dick Wesson, Philip Carey, Paul Harvey, Chubby Johnson, Gale Robbins, Dick Wessel",11/4/1953,10/23/2012,101,WARNER BROTHERS PICTURES,Fresh,71,21,Upright,87,20693,4,15,6
